Year,Trimester,District,Neighbourhood,Average _rent,Price
2019,1,Ciutat Vella,el Raval,average rent (euro/month),822.6
2019,1,Ciutat Vella,Gothic Quarter,average rent (euro/month),1060.9
2019,1,Ciutat Vella,la Barceloneta,average rent (euro/month),891.3
2019,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",average rent (euro/month),990.2
2019,1,Eixample,Fort Pienc,average rent (euro/month),957.2
2019,1,Eixample,Sagrada Familia,average rent (euro/month),936.3
2019,1,Eixample,la Dreta de l'Eixample,average rent (euro/month),1269.1
2019,1,Eixample,l'Antiga Esquerra de l'Eixample,average rent (euro/month),1123.0
2019,1,Eixample,la Nova Esquerra de l'Eixample,average rent (euro/month),1008.5
2019,1,Eixample,Sant Antoni,average rent (euro/month),986.2
2019,1,Sants-Montjuic,el Poble Sec,average rent (euro/month),815.8
2019,1,Sants-Montjuic,la Marina de Port,average rent (euro/month),714.9
2019,1,Sants-Montjuic,la Font de la Guatlla,average rent (euro/month),857.6
2019,1,Sants-Montjuic,Hostafrancs,average rent (euro/month),810.0
2019,1,Sants-Montjuic,la Bordeta,average rent (euro/month),844.1
2019,1,Sants-Montjuic,Sants - Badal,average rent (euro/month),823.5
2019,1,Sants-Montjuic,Sants,average rent (euro/month),873.0
2019,1,Les Corts,les Corts,average rent (euro/month),1070.0
2019,1,Les Corts,la Maternitat i Sant Ramon,average rent (euro/month),938.5
2019,1,Les Corts,Pedralbes,average rent (euro/month),1732.5
2019,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",average rent (euro/month),1103.5
2019,1,Sarria-Sant Gervasi,Sarria,average rent (euro/month),1297.7
2019,1,Sarria-Sant Gervasi,les Tres Torres,average rent (euro/month),1645.9
2019,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,average rent (euro/month),1226.4
2019,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,average rent (euro/month),1357.9
2019,1,Sarria-Sant Gervasi,el Putxet i el Farro,average rent (euro/month),1057.1
2019,1,Gracia,Vallcarca i els Penitents,average rent (euro/month),907.5
2019,1,Gracia,el Coll,average rent (euro/month),750.6
2019,1,Gracia,la Salut,average rent (euro/month),883.4
2019,1,Gracia,la Vila de Gracia,average rent (euro/month),933.4
2019,1,Gracia,el Camp d'en Grassot i Gracia Nova,average rent (euro/month),937.3
2019,1,Horta-Guinardo,el Baix Guinardo,average rent (euro/month),859.1
2019,1,Horta-Guinardo,Can Baro,average rent (euro/month),791.2
2019,1,Horta-Guinardo,el Guinardo,average rent (euro/month),789.8
2019,1,Horta-Guinardo,la Font d'en Fargues,average rent (euro/month),796.5
2019,1,Horta-Guinardo,el Carmel,average rent (euro/month),670.6
2019,1,Horta-Guinardo,la Teixonera,average rent (euro/month),704.4
2019,1,Horta-Guinardo,Sant Genis dels Agudells,average rent (euro/month),759.2
2019,1,Horta-Guinardo,Montbau,average rent (euro/month),780.4
2019,1,Horta-Guinardo,la Vall d'Hebron,average rent (euro/month),870.2
2019,1,Horta-Guinardo,Horta,average rent (euro/month),777.0
2019,1,Nou Barris,Vilapicina i la Torre Llobeta,average rent (euro/month),758.5
2019,1,Nou Barris,Porta,average rent (euro/month),722.8
2019,1,Nou Barris,el Turo de la Peira,average rent (euro/month),685.3
2019,1,Nou Barris,la Guineueta,average rent (euro/month),751.0
2019,1,Nou Barris,Canyelles,average rent (euro/month),791.9
2019,1,Nou Barris,les Roquetes,average rent (euro/month),636.1
2019,1,Nou Barris,Verdun,average rent (euro/month),633.2
2019,1,Nou Barris,la Prosperitat,average rent (euro/month),677.4
2019,1,Nou Barris,la Trinitat Nova,average rent (euro/month),612.3
2019,1,Nou Barris,Ciutat Meridiana,average rent (euro/month),575.4
2019,1,Sant Andreu,la Trinitat Vella,average rent (euro/month),601.2
2019,1,Sant Andreu,el Bon Pastor,average rent (euro/month),705.8
2019,1,Sant Andreu,Sant Andreu,average rent (euro/month),795.3
2019,1,Sant Andreu,la Sagrera,average rent (euro/month),807.6
